Navn;Stasjon;Tid(norsk normaltid);Middeltemperatur (døgn);Maksimumstemperatur (døgn);Minimumstemperatur (døgn);Nedbør (døgn)
Trondheim - Voll;SN68860;01.01.1997;-0,5;-;-;3,4
Trondheim - Voll;SN68860;02.01.1997;-5,4;-;-;-
Trondheim - Voll;SN68860;03.01.1997;-1,2;-;-;-
Trondheim - Voll;SN68860;04.01.1997;1,7;-;-;-
Trondheim - Voll;SN68860;05.01.1997;1;-;-;-
Trondheim - Voll;SN68860;06.01.1997;0,9;-;-;-
Trondheim - Voll;SN68860;07.01.1997;1,3;-;-;-
Trondheim - Voll;SN68860;08.01.1997;-1,2;-;-;-
Trondheim - Voll;SN68860;09.01.1997;-3,6;-;-;-
Trondheim - Voll;SN68860;10.01.1997;-5,9;-;-;-
Trondheim - Voll;SN68860;11.01.1997;-12,1;-;-;-
Trondheim - Voll;SN68860;12.01.1997;-1,2;-;-;-
Trondheim - Voll;SN68860;13.01.1997;4,3;-;-;-
Trondheim - Voll;SN68860;14.01.1997;4,2;-;-;-
Trondheim - Voll;SN68860;15.01.1997;4,9;-;-;-
Trondheim - Voll;SN68860;16.01.1997;2;-;-;-
Trondheim - Voll;SN68860;17.01.1997;0,6;-;-;-
Trondheim - Voll;SN68860;18.01.1997;0,5;-;-;-
Trondheim - Voll;SN68860;19.01.1997;2,4;-;-;-
Trondheim - Voll;SN68860;20.01.1997;2,4;-;-;-
Trondheim - Voll;SN68860;21.01.1997;6,2;-;-;-
Trondheim - Voll;SN68860;22.01.1997;3,1;-;-;-
Trondheim - Voll;SN68860;23.01.1997;0,7;-;-;-
Trondheim - Voll;SN68860;24.01.1997;-3,5;-;-;-
Trondheim - Voll;SN68860;25.01.1997;-1,4;-;-;-
Trondheim - Voll;SN68860;26.01.1997;-0,4;-;-;-
Trondheim - Voll;SN68860;27.01.1997;0,4;-;-;-
Trondheim - Voll;SN68860;28.01.1997;0,9;-;-;-
Trondheim - Voll;SN68860;29.01.1997;4,8;-;-;-
Trondheim - Voll;SN68860;30.01.1997;2;-;-;-
Trondheim - Voll;SN68860;31.01.1997;-0,8;-;-;-
Trondheim - Voll;SN68860;01.02.1997;-1;-;-;2
Trondheim - Voll;SN68860;02.02.1997;-3,6;-;-;-
Trondheim - Voll;SN68860;03.02.1997;2,2;-;-;-
Trondheim - Voll;SN68860;04.02.1997;0,3;-;-;-
Trondheim - Voll;SN68860;05.02.1997;-1,4;-;-;-
Trondheim - Voll;SN68860;06.02.1997;0,9;-;-;-
Trondheim - Voll;SN68860;07.02.1997;2;-;-;-
Trondheim - Voll;SN68860;08.02.1997;1,3;-;-;-
Trondheim - Voll;SN68860;09.02.1997;0;-;-;-
Trondheim - Voll;SN68860;10.02.1997;3,3;-;-;-
